id_iniciativa,ruta_iniciativa,ruta_decreto
1152,storage/iniciativas/3-PA-SALUD-ALEXIA-PAN.docx,
1153,storage/iniciativas/11-MINUTA-CPEUM-SALARIOS-SENADO.pdf,storage/decretos/ACUERDO 11.pdf
1154,storage/iniciativas/12-MINUTA-CPEUM-VIAS-SENADO.pdf,storage/decretos/ACUERDO 12-minuta.pdf
1155,storage/iniciativas/13-MINUTA-CPEUM-AREAS Y EMPRESAS.pdf,storage/decretos/ACUERDO 13-minuta.pdf
42,storage/iniciativas/3-INIC-PRESEAS Y JURADOS.doc,storage/decretos/DECRETO 3.pdf
43,storage/iniciativas/5-INIC-CEDIPIEM.doc,storage/decretos/Dec. 8.pdf
44,storage/iniciativas/6-INIC-FOMENTO.doc,storage/decretos/Dec. 5.pdf
45,storage/iniciativas/39-INIC-LyRPLEG-PM.pdf,storage/decretos/DECRETO 4.pdf
46,storage/iniciativas/40-INIC-BIODIVER-PLIEGO-PM.pdf,
47,storage/iniciativas/41-INIC-2025-COLETTE-PM.pdf,
48,storage/iniciativas/42-INIC-LOPLEG-EDMUNDO-PM.pdf,storage/decretos/DECRETO 102.pdf
852206ed-b297-46ce-a49f-19eaf91a4add,storage/iniciativas/43-INIC-BIODIVER-PVEM.pdf,storage/decretos/DECRETO 90.pdf
50,storage/iniciativas/44-INIC-COD-ADM-YURIXI-PT.pdf,
51,storage/iniciativas/45-INIC-NIÑAS-ANUAR-PAN.pdf,
52,storage/iniciativas/46-INIC-BIODIVERS-PMC.pdf,
1156,storage/iniciativas/4-PA-CANCER-COLIN-PRI.pdf,
1157,storage/iniciativas/5-PA-JILOTZINGO-CASTRO-PRI.pdf,
1158,storage/iniciativas/6-PA-PLASTICOS-PMC.pdf,
1159,storage/iniciativas/7-PA-CANCER-PRD.pdf,
53,storage/iniciativas/TABLAS-iniciativa.doc,storage/decretos/DECRETO 54.pdf
54,storage/iniciativas/TABLAS-iniciativa.doc,storage/decretos/DECRETO 54.pdf
55,storage/iniciativas/TABLAS-iniciativa.doc,storage/decretos/DECRETO 54.pdf
56,storage/iniciativas/TABLAS-iniciativa.doc,storage/decretos/DECRETO 54.pdf
57,storage/iniciativas/TABLAS-iniciativa.doc,storage/decretos/DECRETO 54.pdf
58,storage/iniciativas/TABLAS-iniciativa.doc,storage/decretos/DECRETO 54.pdf
59,storage/iniciativas/TABLAS-iniciativa.doc,storage/decretos/DECRETO 54.pdf
60,storage/iniciativas/TABLAS-iniciativa.doc,storage/decretos/DECRETO 54.pdf
61,storage/iniciativas/TABLAS-iniciativa.doc,storage/decretos/DECRETO 54.pdf
62,storage/iniciativas/TABLAS-iniciativa.doc,storage/decretos/DECRETO 54.pdf
63,storage/iniciativas/TABLAS-iniciativa.doc,storage/decretos/DECRETO 54.pdf
64,storage/iniciativas/TABLAS-iniciativa.doc,storage/decretos/DECRETO 54.pdf
65,storage/iniciativas/TABLAS-iniciativa.doc,storage/decretos/DECRETO 54.pdf
66,storage/iniciativas/TABLAS-iniciativa.doc,storage/decretos/DECRETO 54.pdf
67,storage/iniciativas/TABLAS-iniciativa.doc,storage/decretos/DECRETO 54.pdf
68,storage/iniciativas/TABLAS-iniciativa.doc,storage/decretos/DECRETO 54.pdf
